,Epsilon,Eval_val,K,Opt_val,index,satisfy,setuptime,solvetime
0,1e-05,0.5833333333333334,1.0,-0.0009502401774874545,0.0,0.5833333333333334,0.05238513151804606,7.937069217363994
1,1.325019355056747e-05,0.6666666666666666,1.0,-0.0007144442492521308,0.9166666666666666,0.6666666666666666,0.05238513151804606,21.172994832197826
2,1.7556762912750012e-05,0.75,1.0,-0.0004470514117209355,1.8333333333333333,0.75,0.05238513151804606,45.45074186722437
3,2.3263050671536287e-05,0.75,1.0,-0.00014579010049795842,2.75,0.75,0.05238513151804606,58.72309825817744
4,3.082399239745144e-05,0.8333333333333334,1.0,0.0001937653933158838,3.6666666666666665,0.8333333333333334,0.05238513151804606,113.154672284921
5,4.084238652674516e-05,0.8333333333333334,1.0,0.0005797770813365837,4.583333333333333,0.8333333333333334,0.05238513151804606,214.90639865398407
6,5.411695265464636e-05,1.0,1.0,0.0010205280260470176,5.5,1.0,0.05238513151804606,402.651904185613
7,7.17060097040962e-05,1.0,1.0,0.0015250670170690987,6.416666666666667,1.0,0.05238513151804606,579.0017301241556
8,9.50118507318144e-05,1.0,1.0,0.0021035600097614386,7.333333333333333,1.0,0.05238513151804606,774.0914657910665
9,0.00012589254117941672,1.0,1.0,0.0027675772327754207,8.25,1.0,0.05238513151804606,949.9920715292295
10,1e-05,0.5833333333333334,5.0,-0.0009430011027410016,9.166666666666666,0.5833333333333334,0.2220020890235901,31.55976305405299
11,1.325019355056747e-05,0.75,5.0,-0.0006997085074431793,10.083333333333334,0.75,0.2220020890235901,65.96316967407863
12,1.7556762912750012e-05,0.75,5.0,-0.00042204491441407734,11.0,0.75,0.2220020890235901,123.5394896864891
13,2.3263050671536287e-05,0.75,5.0,-0.0001457826867360333,11.916666666666666,0.75,0.2220020890235901,222.24151122570038
14,3.082399239745144e-05,0.8333333333333334,5.0,0.000193770317558997,12.833333333333334,0.8333333333333334,0.2220020890235901,360.6383612354596
15,4.084238652674516e-05,0.8333333333333334,5.0,0.0005797809069180621,13.75,0.8333333333333334,0.2220020890235901,567.1874890724818
16,5.411695265464636e-05,1.0,5.0,0.001020532094128711,14.666666666666666,1.0,0.2220020890235901,772.0925278067589
17,7.17060097040962e-05,1.0,5.0,0.001525072481446505,15.583333333333334,1.0,0.2220020890235901,892.1683019002279
18,9.50118507318144e-05,1.0,5.0,0.0021035647258076887,16.5,1.0,0.2220020890235901,987.4141380190849
19,0.00012589254117941672,1.0,5.0,0.002767584645195355,17.416666666666668,1.0,0.2220020890235901,1141.233517050743
20,1e-05,0.5833333333333334,50.0,-0.0009346044114924221,18.333333333333332,0.5833333333333334,1.1001482407251995,183.1559502283732
21,1.325019355056747e-05,0.75,50.0,-0.0007078212955615545,19.25,0.75,1.1001482407251995,260.11826405922574
22,1.7556762912750012e-05,0.75,50.0,-0.0004426216540150947,20.166666666666668,0.75,1.1001482407251995,457.0111493865649
23,2.3263050671536287e-05,0.75,50.0,-0.0001441944320204824,21.083333333333332,0.75,1.1001482407251995,507.1976485649745
24,3.082399239745144e-05,0.8333333333333334,50.0,0.0001939525758275374,22.0,0.8333333333333334,1.1001482407251995,651.9928430716196
25,4.084238652674516e-05,0.8333333333333334,50.0,0.0005800881071523983,22.916666666666668,0.8333333333333334,1.1001482407251995,816.7795677781105
26,5.411695265464636e-05,1.0,50.0,0.0010206271157705649,23.833333333333332,1.0,1.1001482407251995,917.5305317838987
27,7.17060097040962e-05,1.0,50.0,0.0015250995113590075,24.75,1.0,1.1001482407251995,996.216421743234
28,9.50118507318144e-05,1.0,50.0,0.0021036061468223274,25.666666666666668,1.0,1.1001482407251995,1128.4413544336956
29,0.00012589254117941672,1.0,50.0,0.0027676184688631405,26.583333333333332,1.0,1.1001482407251995,1200.6775747537613
30,1e-05,0.6666666666666666,100.0,-0.000809365356698339,27.5,0.6666666666666666,1.8731298247973125,448.00431946913403
31,1.325019355056747e-05,0.75,100.0,-0.0005865500796267863,28.416666666666668,0.75,1.8731298247973125,567.9257897933325
32,1.7556762912750012e-05,0.8333333333333334,100.0,-0.0003453288446418899,29.333333333333332,0.8333333333333334,1.8731298247973125,745.1872845292091
33,2.3263050671536287e-05,0.8333333333333334,100.0,-6.599066981813832e-05,30.25,0.8333333333333334,1.8731298247973125,851.1476329763731
34,3.082399239745144e-05,0.8333333333333334,100.0,0.0002566407250923614,31.166666666666668,0.8333333333333334,1.8731298247973125,931.698333064715
35,4.084238652674516e-05,0.8333333333333334,100.0,0.0006340421813020254,32.083333333333336,0.8333333333333334,1.8731298247973125,947.5774928530058
36,5.411695265464636e-05,1.0,100.0,0.0010662598095165568,33.0,1.0,1.8731298247973125,1038.040810227394
37,7.17060097040962e-05,1.0,100.0,0.0015571928893050745,33.916666666666664,1.0,1.8731298247973125,1131.598518570264
38,9.50118507318144e-05,1.0,100.0,0.002122229020102257,34.833333333333336,1.0,1.8731298247973125,1200.9689615368843
39,0.00012589254117941672,1.0,100.0,0.002785564511036983,35.75,1.0,1.8731298247973125,1200.9229968190193
40,1e-05,0.6666666666666666,150.0,-0.0008245301536884019,36.666666666666664,0.6666666666666666,2.830518384774526,428.0225071112315
41,1.325019355056747e-05,0.75,150.0,-0.0006085353657582243,37.583333333333336,0.75,2.830518384774526,562.7141080101331
42,1.7556762912750012e-05,0.75,150.0,-0.0003409000336959825,38.5,0.75,2.830518384774526,767.6563693483671
43,2.3263050671536287e-05,0.8333333333333334,150.0,-6.970512187763914e-05,39.416666666666664,0.8333333333333334,2.830518384774526,867.7071810762087
44,3.082399239745144e-05,0.8333333333333334,150.0,0.00026494963719352234,40.333333333333336,0.8333333333333334,2.830518384774526,938.9632034301758
45,4.084238652674516e-05,0.8333333333333334,150.0,0.0006342465108366478,41.25,0.8333333333333334,2.830518384774526,969.6339597503344
46,5.411695265464636e-05,1.0,150.0,0.0010672046377053393,42.166666666666664,1.0,2.830518384774526,1092.6478104194005
47,7.17060097040962e-05,1.0,150.0,0.0015649566667019714,43.083333333333336,1.0,2.830518384774526,1155.5209054549534
48,9.50118507318144e-05,1.0,150.0,0.0021332175197808037,44.0,1.0,2.830518384774526,1201.1587697664897
49,0.00012589254117941672,1.0,150.0,0.0028025479622990654,44.916666666666664,1.0,2.830518384774526,1201.2166681090991
50,1e-05,0.5833333333333334,300.0,-0.0007592491917797274,45.833333333333336,0.5833333333333334,4.030839284261067,211.07119689385095
51,1.325019355056747e-05,0.75,300.0,-0.0005821246499247196,46.75,0.75,4.030839284261067,344.9523786505063
52,1.7556762912750012e-05,0.75,300.0,-0.000337424468035871,47.666666666666664,0.75,4.030839284261067,560.7132298747698
53,2.3263050671536287e-05,0.75,300.0,-2.9633546810616835e-05,48.583333333333336,0.75,4.030839284261067,844.801407734553
54,3.082399239745144e-05,0.8333333333333334,300.0,0.0002639721739650998,49.5,0.8333333333333334,4.030839284261067,1014.8787364959717
55,4.084238652674516e-05,0.8333333333333334,300.0,0.0006225156855379458,50.416666666666664,0.8333333333333334,4.030839284261067,1030.8147783676784
56,5.411695265464636e-05,1.0,300.0,0.0010533871155194213,51.333333333333336,1.0,4.030839284261067,1147.8376850485802
57,7.17060097040962e-05,1.0,300.0,0.0015523645784748746,52.25,1.0,4.030839284261067,1200.7889650464058
58,9.50118507318144e-05,1.0,300.0,0.00211361963563403,53.166666666666664,1.0,4.030839284261067,1201.1215564211209
59,0.00012589254117941672,1.0,300.0,0.002780586764476792,54.083333333333336,1.0,4.030839284261067,1200.2696578502655
